Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,0071_002.4,WB,0071_002.4_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    102.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.07,      0.03,         0,         0,      0.03,         0
All,ok,drive,0071_001.4,WB,0071_001.4_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    106.00,     15.00,      0.32,      0.32,         0,         0,         0,         0,         0,      0.37,      0.25,      0.07,         0,         0,      0.05,         0
All,ok,drive,0071_000.4,WB,0071_000.4_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    109.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.07,      0.01,         0,         0,      0.01,         0
All,ok,drive,0071_000.0,WB,0071_000.0_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    111.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.21,      0.15,      0.05,         0,         0,      0.01,         0
All,ok,drive,2030_010.6,WB,2030_010.6_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    114.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.01,      0.03,         0,         0,      0.01,         0
All,ok,drive,WFRC_8009,SB,WFRC_8009_SB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    119.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.18,      0.16,      0.02,         0,         0,         0,         0
All,ok,drive,WFRC_8122,WB,WFRC_8122_WB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    125.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.21,      0.15,      0.06,         0,         0,         0,         0
All,ok,drive,2060_002.8,NB,2060_002.8_NB,      4.00,BRT123RD_A,Draper Town Center-Riverton Corridor,      1.00,    143.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.47,      0.41,      0.06,         0,         0,         0,         0
All,ok,drive,1420_000.3,WB,1420_000.3_WB,      4.00,BRTNRedwd_T,North Redwood Corridor,      1.00,      1.00,     15.00,      0.01,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,WB,1420_000.0_WB,      4.00,BRTNRedwd_T,North Redwood Corridor,      1.00,      3.00,     15.00,      1.57,      1.55,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
