Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,0089_333.5,WB,0089_333.5_WB,      4.00,M831_WPr,M831_WPr,      2.00,     85.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0189_001.4,SB,0189_001.4_SB,      4.00,M831_WPr,M831_WPr,      2.00,     87.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.43,      0.43,         0,         0,         0,         0,         0
All,ok,drive,0189_001.2,SB,0189_001.2_SB,      4.00,M831_WPr,M831_WPr,      2.00,     89.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
All,ok,drive,3014_001.5,WB,3014_001.5_WB,      4.00,M831_WPr,M831_WPr,      2.00,     91.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,UTA_0990,NB,UTA_0990_NB,      4.00,M831_WPr,M831_WPr,      2.00,     93.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,UTA_0990,SB,UTA_0990_SB,      4.00,M833_CntPr,M833_CntPr,      1.00,      1.00,     60.00,      2.86,      0.23,         0,         0,         0,         0,      2.63,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0114_000.0,WB,0114_000.0_WB,      4.00,M833_CntPr,M833_CntPr,      1.00,     13.00,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.86,      0.02,         0,         0,         0,         0,      0.84
All,ok,drive,0114_000.4,WB,0114_000.4_WB,      4.00,M833_CntPr,M833_CntPr,      1.00,     16.00,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.97,      0.03,         0,         0,         0,         0,      0.94
All,ok,drive,0114_001.2,WB,0114_001.2_WB,      4.00,M833_CntPr,M833_CntPr,      1.00,     27.00,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.32,      0.05,         0,         0,         0,         0,      0.27
All,ok,drive,undefined,WB,undefined,      4.00,M833_CntPr,M833_CntPr,      1.00,     28.00,     60.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.01,         0,         0,         0,         0,      0.05
